Code,Date,Weight
002372.SZ,2024/9/30,0.138
600517.SH,2024/9/30,0.137
688567.SH,2024/9/30,0.136
600901.SH,2024/9/30,0.136
002019.SZ,2024/9/30,0.135
600968.SH,2024/9/30,0.134
601928.SH,2024/9/30,0.133
600528.SH,2024/9/30,0.133
000778.SZ,2024/9/30,0.133
000709.SZ,2024/9/30,0.133
600977.SH,2024/9/30,0.131
688301.SH,2024/9/30,0.131
000825.SZ,2024/9/30,0.131
002368.SZ,2024/9/30,0.13
002373.SZ,2024/9/30,0.13
002487.SZ,2024/9/30,0.128
601399.SH,2024/9/30,0.128
002266.SZ,2024/9/30,0.127
688561.SH,2024/9/30,0.127
688200.SH,2024/9/30,0.127
600056.SH,2024/9/30,0.126
600663.SH,2024/9/30,0.126
688063.SH,2024/9/30,0.126
601598.SH,2024/9/30,0.126
000155.SZ,2024/9/30,0.126
603456.SH,2024/9/30,0.125
603379.SH,2024/9/30,0.125
002080.SZ,2024/9/30,0.124
603712.SH,2024/9/30,0.124
600871.SH,2024/9/30,0.122
603737.SH,2024/9/30,0.121
688220.SH,2024/9/30,0.12
001286.SZ,2024/9/30,0.119
600500.SH,2024/9/30,0.119
002408.SZ,2024/9/30,0.119
300776.SZ,2024/9/30,0.119
688032.SH,2024/9/30,0.119
603688.SH,2024/9/30,0.118
688516.SH,2024/9/30,0.118
601019.SH,2024/9/30,0.117
603728.SH,2024/9/30,0.117
600022.SH,2024/9/30,0.116
600483.SH,2024/9/30,0.116
688536.SH,2024/9/30,0.116
600612.SH,2024/9/30,0.116
603883.SH,2024/9/30,0.115
000032.SZ,2024/9/30,0.114
300682.SZ,2024/9/30,0.113
002531.SZ,2024/9/30,0.113
601106.SH,2024/9/30,0.113
688297.SH,2024/9/30,0.112
601992.SH,2024/9/30,0.112
600925.SH,2024/9/30,0.112
603225.SH,2024/9/30,0.112
600827.SH,2024/9/30,0.111
603650.SH,2024/9/30,0.111
601965.SH,2024/9/30,0.111
300357.SZ,2024/9/30,0.111
002865.SZ,2024/9/30,0.111
601608.SH,2024/9/30,0.11
300888.SZ,2024/9/30,0.109
001227.SZ,2024/9/30,0.109
603233.SH,2024/9/30,0.108
600578.SH,2024/9/30,0.107
000559.SZ,2024/9/30,0.107
000785.SZ,2024/9/30,0.107
688029.SH,2024/9/30,0.104
600098.SH,2024/9/30,0.103
600377.SH,2024/9/30,0.103
601568.SH,2024/9/30,0.102
603707.SH,2024/9/30,0.102
000937.SZ,2024/9/30,0.102
688349.SH,2024/9/30,0.101
000156.SZ,2024/9/30,0.1
600095.SH,2024/9/30,0.1
603127.SH,2024/9/30,0.099
600967.SH,2024/9/30,0.098
688425.SH,2024/9/30,0.098
000958.SZ,2024/9/30,0.096
601298.SH,2024/9/30,0.094
603218.SH,2024/9/30,0.094
003022.SZ,2024/9/30,0.094
603517.SH,2024/9/30,0.092
003031.SZ,2024/9/30,0.091
600350.SH,2024/9/30,0.091
600315.SH,2024/9/30,0.091
688331.SH,2024/9/30,0.09
301267.SZ,2024/9/30,0.09
688778.SH,2024/9/30,0.09
000537.SZ,2024/9/30,0.089
603826.SH,2024/9/30,0.089
002608.SZ,2024/9/30,0.088
600032.SH,2024/9/30,0.087
002153.SZ,2024/9/30,0.087
600339.SH,2024/9/30,0.087
600126.SH,2024/9/30,0.086
000967.SZ,2024/9/30,0.086
000401.SZ,2024/9/30,0.086
000898.SZ,2024/9/30,0.085
688248.SH,2024/9/30,0.084
002867.SZ,2024/9/30,0.084
688779.SH,2024/9/30,0.083
600808.SH,2024/9/30,0.083
002690.SZ,2024/9/30,0.082
688520.SH,2024/9/30,0.08
003035.SZ,2024/9/30,0.08
688281.SH,2024/9/30,0.079
601228.SH,2024/9/30,0.078
600764.SH,2024/9/30,0.078
600361.SH,2024/9/30,0.078
688475.SH,2024/9/30,0.077
000959.SZ,2024/9/30,0.077
001872.SZ,2024/9/30,0.076
600481.SH,2024/9/30,0.075
002563.SZ,2024/9/30,0.074
600928.SH,2024/9/30,0.072
603786.SH,2024/9/30,0.072
688006.SH,2024/9/30,0.069
002518.SZ,2024/9/30,0.068
603056.SH,2024/9/30,0.068
688819.SH,2024/9/30,0.067
603185.SH,2024/9/30,0.067
600299.SH,2024/9/30,0.066
688387.SH,2024/9/30,0.066
000539.SZ,2024/9/30,0.065
300861.SZ,2024/9/30,0.065
301029.SZ,2024/9/30,0.064
002791.SZ,2024/9/30,0.064
600927.SH,2024/9/30,0.064
000031.SZ,2024/9/30,0.063
601139.SH,2024/9/30,0.063
001203.SZ,2024/9/30,0.061
688172.SH,2024/9/30,0.06
603305.SH,2024/9/30,0.059
603317.SH,2024/9/30,0.057
688348.SH,2024/9/30,0.055
688276.SH,2024/9/30,0.055
601828.SH,2024/9/30,0.053
002945.SZ,2024/9/30,0.053
688375.SH,2024/9/30,0.05
601858.SH,2024/9/30,0.049
688153.SH,2024/9/30,0.044
688107.SH,2024/9/30,0.044
601158.SH,2024/9/30,0.042
301165.SZ,2024/9/30,0.042
600956.SH,2024/9/30,0.036
688295.SH,2024/9/30,0.032
603868.SH,2024/9/30,0.03
